date,customer,ab_test_group,is_viewthrough_install,installs
2022-09-02,customer_1,control,FALSE,3634.00
2022-09-02,customer_1,control,TRUE,185.00
2022-09-02,customer_1,experiment,FALSE,3266.00
2022-09-02,customer_1,experiment,TRUE,936.00
2022-09-02,customer_2,control,FALSE,2860.00
2022-09-02,customer_2,control,TRUE,277.00
2022-09-02,customer_2,experiment,FALSE,2843.00
2022-09-02,customer_2,experiment,TRUE,346.00
2022-09-02,customer_3,control,FALSE,2511.00
2022-09-02,customer_3,control,TRUE,587.00
2022-09-02,customer_3,experiment,FALSE,2218.00
2022-09-02,customer_3,experiment,TRUE,1717.00
2022-09-02,customer_4,control,FALSE,3355.00
2022-09-02,customer_4,control,TRUE,221.00
2022-09-02,customer_4,experiment,FALSE,3452.00
2022-09-02,customer_4,experiment,TRUE,256.00
2022-09-02,customer_5,control,FALSE,1136.00
2022-09-02,customer_5,control,TRUE,360.00
2022-09-02,customer_5,experiment,FALSE,1207.00
2022-09-02,customer_5,experiment,TRUE,353.00
2022-09-02,customer_6,control,FALSE,260.00
2022-09-02,customer_6,control,TRUE,11.00
2022-09-02,customer_6,experiment,FALSE,276.00
2022-09-02,customer_6,experiment,TRUE,8.00
2022-09-02,customer_7,control,FALSE,413.00
2022-09-02,customer_7,control,TRUE,36.00
2022-09-02,customer_7,experiment,FALSE,365.00
2022-09-02,customer_7,experiment,TRUE,141.00
2022-09-02,customer_8,control,FALSE,501.00
2022-09-02,customer_8,control,TRUE,45.00
2022-09-02,customer_8,experiment,FALSE,403.00
2022-09-02,customer_8,experiment,TRUE,257.00
2022-09-02,customer_9,control,FALSE,374.00
2022-09-02,customer_9,control,TRUE,93.00
2022-09-02,customer_9,experiment,FALSE,389.00
2022-09-02,customer_9,experiment,TRUE,70.00
2022-09-02,customer_10,control,FALSE,224.00
2022-09-02,customer_10,control,TRUE,206.00
2022-09-02,customer_10,experiment,FALSE,71.00
2022-09-02,customer_10,experiment,TRUE,2356.00
2022-09-02,customer_11,control,FALSE,2339.00
2022-09-02,customer_11,control,TRUE,1787.00
2022-09-02,customer_11,experiment,FALSE,2012.00
2022-09-02,customer_11,experiment,TRUE,2189.00
2022-09-02,customer_12,control,FALSE,617.00
2022-09-02,customer_12,control,TRUE,84.00
2022-09-02,customer_12,experiment,FALSE,550.00
2022-09-02,customer_12,experiment,TRUE,118.00
2022-09-02,customer_13,control,FALSE,23.00
